No.;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter
202746;526.139.499;34.120.208.123;192.168.100.42;TCP;66;[TCP Previous segment not captured] 443  >  62294 [ACK] Seq=1133 Ack=3872 Win=76288 Len=0 SLE=3826 SRE=3872;;;526.139.499;557.655.977;31.516.478;31516478;15746;-31500732
218112;557.655.977;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;557.655.977;557.671.723;15.746;15746;162072;146326
218149;557.671.723;64:ff9b::14cd:f3a6;2001:448a:10ea:4590:5d42:648b:ce27:4532;TLSv1.3;1466;[TCP Previous segment not captured] , Application Data;;;557.671.723;557.833.795;162.072;162072;189062;26990
218228;557.833.795;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;557.833.795;558.022.857;189.062;189062;180531;-8531
218341;558.022.857;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;558.022.857;558.203.388;180.531;180531;193578;13047
218420;558.203.388;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;558.203.388;558.396.966;193.578;193578;180742;-12836
218527;558.396.966;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;558.396.966;558.577.708;180.742;180742;186649;5907
218605;558.577.708;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;558.577.708;558.764.357;186.649;186649;1719486;1532837
218700;558.764.357;74.125.24.101;192.168.100.42;TLSv1.2;296;[TCP Previous segment not captured] , Application Data;;;558.764.357;560.483.843;1.719.486;1719486;12739499;11020013
219530;560.483.843;142.251.12.94;192.168.100.42;TCP;60;[TCP Previous segment not captured] 443  >  62350 [ACK] Seq=935 Ack=1093 Win=67328 Len=0;;;560.483.843;573.223.342;12.739.499;12739499;16347521;3608022
225163;573.223.342;64:ff9b::d8ef:2678;2001:448a:10ea:4590:5d42:648b:ce27:4532;TCP;74;[TCP Previous segment not captured] 443  >  62351 [ACK] Seq=6973 Ack=1728 Win=68864 Len=0;;;573.223.342;589.570.863;16.347.521;16347521;189066;-16158455
232125;589.570.863;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;589.570.863;589.759.929;189.066;189066;1083405;894339
232276;589.759.929;118.98.109.81;192.168.100.42;TCP;1466;[TCP Previous segment not captured] 443  >  62389 [ACK] Seq=47265878 Ack=70310 Win=252416 Len=1412 [TCP segment of a reassembled PDU];;;589.759.929;590.843.334;1.083.405;1083405;630761;-452644
232634;590.843.334;74.125.24.101;192.168.100.42;TLSv1.2;240;[TCP Previous segment not captured] , Application Data;;;590.843.334;591.474.095;630.761;630761;30965805;30335044
232819;591.474.095;118.98.109.81;192.168.100.42;TLSv1.3;1466;[TCP Previous segment not captured] , Continuation Data;;;591.474.095;622.439.900;30.965.805;30965805;797230;-30168575
243077;622.439.900;74.125.24.101;192.168.100.42;TLSv1.2;93;[TCP Previous segment not captured] , Application Data;;;622.439.900;623.237.130;797.230;797230;7881;-789349
243280;623.237.130;64:ff9b::8c52:7016;2001:448a:10ea:4590:5d42:648b:ce27:4532;TCP;86;[TCP Previous segment not captured] 443  >  62438 [ACK] Seq=3516 Ack=518 Win=67584 Len=0 SLE=1 SRE=518;;;623.237.130;623.245.011;7.881;7881;852754;844873
243281;623.245.011;20.205.243.168;192.168.100.42;TCP;66;[TCP Previous segment not captured] 443  >  62440 [ACK] Seq=1413 Ack=518 Win=67584 Len=0 SLE=1 SRE=518;;;623.245.011;624.097.765;852.754;852754;5031942;4179188
243517;624.097.765;64:ff9b::8c52:7016;2001:448a:10ea:4590:5d42:648b:ce27:4532;TLSv1.2;1486;[TCP Previous segment not captured] , Ignored Unknown Record;;;624.097.765;629.129.707;5.031.942;5031942;14384655;9352713
245010;629.129.707;34.120.208.123;192.168.100.42;TCP;66;[TCP Previous segment not captured] 443  >  62444 [ACK] Seq=264 Ack=746 Win=68864 Len=0 SLE=1594 SRE=1632;;;629.129.707;643.514.362;14.384.655;;;
248965;643.514.362;172.217.194.119;192.168.100.42;TLSv1.3;85;[TCP Previous segment not captured] , Application Data;;;;;;;;
;;;;;;;;;;Total Delay;593.823.064;;Total Jitter;12777116
;;;;;;;;;;Rata-Rata Delay;2385,166847;;Rata-Rata Jitter;248965
